offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks,tasks_per_core
ga,slack,ga+slack,8,0.85,2,16,6.79996,1.59752686200045,0.018494277001082082,True,128,54,0.0,0.9629629629629629,0.2857142857142857,1.0,0.04077174763167516,0.04077174763167516,0.04077174763167516,52957.77777777778,True,6.023746424242421,30.118732121212105,30.121212121212125,30.400000000000002,0.0,3.5148415151515153,0.9999225,87.5,215,200000,2
ga,slack,ga+slack,8,0.85,3,16,6.79994,1.5894187710000551,0.016361050000341493,True,133,44,0.0,0.9318181818181818,0.23163841807909605,1.0,0.06818181818181818,0.06818181818181818,0.06818181818181818,65699.75,True,6.038423036547291,30.192115182736458,30.23875114784206,30.400000000000002,0.0,3.524014397842056,0.9979143749999999,87.5,209,200000,2
ga,slack,ga+slack,8,0.85,4,16,6.79998,1.630979784000374,0.016457592000733712,True,146,40,0.0,0.85,0.1827956989247312,1.0,0.15080346985210466,0.15080346985210466,0.15080346985210466,35781.8,True,6.145493024058765,30.727465120293825,30.826813590449955,30.400000000000002,0.985805,3.590933140036733,0.9957475,88.75,225,200000,2
ga,slack,ga+slack,8,0.85,5,16,6.800025,1.6366714830001001,0.014346116999149672,True,90,48,0.0,0.9166666666666666,0.3188405797101449,1.0,0.09997209002852932,0.09997209002852932,0.09997209002852932,42832.72727272727,True,6.069494949494947,30.347474747474738,30.34747474747475,30.400000000000002,0.0,3.5434343434343436,1.0,87.5,173,200000,2
ga,slack,ga+slack,8,0.85,6,16,6.799985,1.6214818869993906,0.012895951000245987,True,74,48,0.0,0.7916666666666666,0.3114754098360656,1.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,13497.75,True,6.0416462222222185,30.208231111111093,30.23875114784206,30.400000000000002,0.0,3.5260288888888893,0.99845625,87.5,158,200000,2
ga,slack,ga+slack,8,0.85,7,16,6.79999,0.6155511019987898,0.009591781999915838,True,119,43,0.0,0.9069767441860465,0.24074074074074073,1.0,0.09302325581395349,0.09302325581395349,0.09302325581395349,46380.61538461538,True,6.019497710192841,30.097488550964208,30.121212121212125,30.400000000000002,0.0,3.5121860688705246,0.999098125,87.5,199,200000,2
ga,slack,ga+slack,8,0.95,0,16,7.60015,0.595728128000701,0.008581825000874233,False,118,37,0.01694915254237288,0.9459459459459459,0.23870967741935484,1.0,0.05405405405405406,0.05405405405405406,0.05405405405405406,32391.666666666668,False,7.105231702479339,35.5261585123967,35.530578512396694,30.400000000000002,1.0,4.1907698140495855,0.999861875,96.25,184,200000,2
ga,slack,ga+slack,8,0.95,1,16,7.59993,0.5999672310008464,0.009822788000747096,True,154,34,0.0,0.9117647058823529,0.16489361702127658,1.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,43484.5,True,7.260639801652894,36.30319900826447,36.35371900826446,30.400000000000002,0.99919,4.287899876033061,0.99842125,97.5,220,200000,2
ga,slack,ga+slack,8,0.95,2,16,7.59993,1.0654934429985587,0.008387548001337564,True,83,48,0.0,0.9375,0.3435114503816794,1.0,0.0708599782394969,0.0708599782394969,0.0708599782394969,40971.1,True,7.27074380165289,36.353719008264456,36.35371900826446,30.400000000000002,1.0,4.294214876033058,1.0,97.5,161,200000,2
ga,slack,ga+slack,8,0.95,3,16,7.599935,0.6170933659996081,0.009348028999738744,False,118,38,0.00847457627118644,0.9473684210526315,0.23717948717948717,1.0,0.06994628385014134,0.06994628385014134,0.06994628385014134,61079.8,False,7.262410899173553,36.31205449586777,36.35371900826446,30.400000000000002,1.0,4.289006811983474,0.998360625,97.5,189,200000,2
