offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks,tasks_per_core
ga,slack,ga+slack,8,1.0,6,16,7.999925,0.9581386240006395,0.01152242100033618,False,74,48,0.16216216216216217,0.7708333333333334,0.4016393442622951,1.0,0.24338557465453317,0.24338557465453317,0.24338557465453317,6700.0,False,7.600000000000003,38.00000000000002,38.0,30.400000000000002,1.0,4.500000000000001,1.0,100.0,153,200000,2
ga,slack,ga+slack,8,1.0,7,16,8.000045,0.5735144289992604,0.008855140000378015,False,85,56,0.29411764705882354,0.875,0.524822695035461,1.0,0.125,0.125,0.125,39440.4,False,7.599999999999997,37.999999999999986,38.0,30.400000000000002,1.0,4.500000000000002,1.0,100.0,175,200000,2
ga,slack,ga+slack,16,0.25,0,32,4.000055,1.6243745959982334,0.030098002000158885,True,196,77,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5283.61038961039,True,5.624924716253446,28.124623581267233,43.77410468319559,59.2,0.0,1.632788973829201,0.393715625,72.5,374,200000,2
ga,slack,ga+slack,16,0.25,1,32,4.000005,1.6851740809997864,0.03526966999925207,True,198,99,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5371.89898989899,True,5.728566618916436,28.642833094582183,43.36822773186409,59.2,0.0,1.6651770684113871,0.4293975,71.25,420,200000,2
ga,slack,ga+slack,16,0.25,2,32,3.999895,1.6809804040003655,0.03351036200001545,True,169,88,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5168.806818181818,True,5.493946732782368,27.469733663911843,42.5289256198347,59.2,0.0,1.5918583539944904,0.432784375,70.0,369,200000,2
ga,slack,ga+slack,16,0.25,3,32,3.999975,1.6205465780003578,0.02641851400039741,True,182,69,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4864.014492753623,True,5.306590622589529,26.53295311294765,42.5289256198347,59.2,0.0,1.5333095695592276,0.39837531249999997,70.0,343,200000,2
ga,slack,ga+slack,16,0.25,4,32,4.000015,1.6676596580000478,0.02864509199935128,True,205,71,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6198.12676056338,True,5.562614222222223,27.813071111111118,41.26134067952249,59.2,0.0,1.6133169444444446,0.400135,70.625,371,200000,2
ga,slack,ga+slack,16,0.25,5,32,3.999915,0.645402689000548,0.02530998499969428,True,252,85,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4854.176470588235,True,5.404243636363628,27.021218181818142,42.5289256198347,59.2,0.0,1.5638261363636365,0.42346249999999996,70.0,446,200000,2
ga,slack,ga+slack,16,0.25,6,32,4.000045,0.6258296380001411,0.022471018999567605,True,189,88,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5584.193181818182,True,5.585389854178146,27.926949270890734,43.04462809917355,59.2,0.0,1.6204343294306698,0.421550625,70.625,389,200000,2
ga,slack,ga+slack,16,0.25,7,32,3.999975,0.6105486879987438,0.021321632999388385,True,230,81,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5079.962962962963,True,5.423465256932966,27.11732628466483,40.46207529843893,59.2,0.0,1.5698328927915504,0.4113821875,70.625,416,200000,2
